AÑO,LITORAL,CAPTURA_(TONELADAS)
1991,Litoral del Pacifico,986103
1991,Litoral del Golfo y Mar Caribe,275918
1991,Captura continental,19847
1992,Litoral del Pacifico,758019
1992,Litoral del Golfo y Mar Caribe,303156
1992,Captura continental,15854
1993,Litoral del Pacifico,684456
1993,Litoral del Golfo y Mar Caribe,320520
1993,Captura continental,16428
1994,Litoral del Pacifico,763884
1994,Litoral del Golfo y Mar Caribe,322461
1994,Captura continental,2285
1995,Litoral del Pacifico,920620
1995,Litoral del Golfo y Mar Caribe,321731
1995,Captura continental,4458
1996,Litoral del Pacifico,1044613
1996,Litoral del Golfo y Mar Caribe,312432
1996,Captura continental,3766
1997,Litoral del Pacifico,1101957
1997,Litoral del Golfo y Mar Caribe,292375
1997,Captura continental,2376
1998,Litoral del Pacifico,792718
1998,Litoral del Golfo y Mar Caribe,280384
1998,Captura continental,408
1999,Litoral del Pacifico,859184
1999,Litoral del Golfo y Mar Caribe,260211
1999,Captura continental,378
2000,Litoral del Pacifico,970676
2000,Litoral del Golfo y Mar Caribe,243719
2000,Captura continental,383
2001,Litoral del Pacifico,1096120
2001,Litoral del Golfo y Mar Caribe,227762
2001,Captura continental,340
2002,Litoral del Pacifico,1164432
2002,Litoral del Golfo y Mar Caribe,202345
2002,Captura continental,191
2003,Litoral del Pacifico,1135028
2003,Litoral del Golfo y Mar Caribe,222067
2003,Captura continental,97
2004,Litoral del Pacifico,1033557
2004,Litoral del Golfo y Mar Caribe,225358
2004,Captura continental,58
2005,Litoral del Pacifico,1015912
2005,Litoral del Golfo y Mar Caribe,206438
2005,Captura continental,11
2006,Litoral del Pacifico,1072031
2006,Litoral del Golfo y Mar Caribe,198445
2006,Captura continental,23
2007,Litoral del Pacifico,1159371
2007,Litoral del Golfo y Mar Caribe,189787
2007,Captura continental,14
2008,Litoral del Pacifico,1291691
2008,Litoral del Golfo y Mar Caribe,170095
2008,Captura continental,13
2009,Litoral del Pacifico,1307394
2009,Litoral del Golfo y Mar Caribe,175629
2009,Captura continental,23
2010,Litoral del Pacifico,1141306
2010,Litoral del Golfo y Mar Caribe,207872
2010,Captura continental,87
2011,Litoral del Pacifico,1223849
2011,Litoral del Golfo y Mar Caribe,173755
2011,Captura continental,16
2012,Litoral del Pacifico,1239417
2012,Litoral del Golfo y Mar Caribe,194046
2012,Captura continental,9
2013,Litoral del Pacifico,1332924
2013,Litoral del Golfo y Mar Caribe,167592
2013,Captura continental,0
2014,Litoral del Pacifico,1229711
2014,Litoral del Golfo y Mar Caribe,192076
2014,Captura continental,5163
2015,Litoral del Pacifico,1091488
2015,Litoral del Golfo y Mar Caribe,239279
2015,Captura continental,2172
2016,Litoral del Pacifico,1083984
2016,Litoral del Golfo y Mar Caribe,253511
2016,Captura continental,6890
2017,Litoral del Pacifico,1474580
2017,Litoral del Golfo y Mar Caribe,263924
2017,Captura continental,11801
